"file_name","timestamp","summary"
"call2.m4a","07:48 PM","Summary Failed"
"call2.m4a","07:52 PM","Randall Thomas called to order flowers from Martha's Flowers, resulting in the successful placement of an order for one dozen long-stemmed red roses to be delivered within 24 hours."
"call2.m4a","07:54 PM","Summary Failed"
"call2.m4a","07:56 PM","Randall called to Order from Martha's Florist, resulting in a successful purchase of one dozen long-stemmed red roses."
"call1.m4a","05:00 PM","A customer, John Smith, calls Nissan to inquire about updating the map in his 2009 Nissan Altima and is assisted by Agent Lauren, who provides him with the price and promotion details."
"call1.m4a","05:04 PM","A customer, John Smith, calls Nissan to inquire about updating the map in his 2009 Nissan Altima and is assisted by Agent Lauren, who provides him with the cost and promotes a special offer."
"call2.m4a","05:10 PM","A customer, Randall Thomas, calls Martha's Flowers to order a dozen long-stemmed red roses to be delivered to his address within 24 hours."
"call1.m4a","05:15 PM","A customer, John Smith, calls Nissan to inquire about updating the map in his 2009 Nissan Altima and is assisted by Agent Lauren, who provides him with the cost and promotes a special offer."
"call2.m4a","05:24 PM","A customer, Randall Thomas, calls Martha's Flowers to order a dozen long-stemmed red roses for delivery within 24 hours."
"call1.m4a","05:26 PM","A customer, John Smith, calls Nissan to inquire about updating the map in his 2009 Nissan Altima and is assisted by Agent Lauren, who provides him with the cost and promotion details."
